,cik,name,ticker,exchange
0,1045810,NVIDIA CORP,NVDA,Nasdaq
1,789019,MICROSOFT CORP,MSFT,Nasdaq
2,320193,Apple Inc.,AAPL,Nasdaq
3,1652044,Alphabet Inc.,GOOGL,Nasdaq
4,1018724,AMAZON COM INC,AMZN,Nasdaq
5,1326801,"Meta Platforms, Inc.",META,Nasdaq
6,1730168,Broadcom Inc.,AVGO,Nasdaq
7,1067983,BERKSHIRE HATHAWAY INC,BRK-B,NYSE
8,1318605,"Tesla, Inc.",TSLA,Nasdaq
9,19617,JPMORGAN CHASE & CO,JPM,NYSE
10,1341439,ORACLE CORP,ORCL,NYSE
11,104169,Walmart Inc.,WMT,NYSE
12,1403161,VISA INC.,V,NYSE
13,59478,ELI LILLY & Co,LLY,NYSE
14,884394,SPDR S&P 500 ETF TRUST,SPY,NYSE
15,1141391,Mastercard Inc,MA,NYSE
16,1065280,NETFLIX INC,NFLX,Nasdaq
17,34088,EXXON MOBIL CORP,XOM,NYSE
18,200406,JOHNSON & JOHNSON,JNJ,NYSE
19,1577552,Alibaba Group Holding Ltd,BABA,NYSE
20,1321655,Palantir Technologies Inc.,PLTR,Nasdaq
21,909832,COSTCO WHOLESALE CORP /NEW,COST,Nasdaq
22,354950,"HOME DEPOT, INC.",HD,NYSE
23,1551152,AbbVie Inc.,ABBV,NYSE
24,70858,BANK OF AMERICA CORP /DE/,BAC,NYSE
25,937966,ASML HOLDING NV,ASML,Nasdaq
26,80424,PROCTER & GAMBLE Co,PG,NYSE
27,93410,CHEVRON CORP,CVX,NYSE
28,40545,GENERAL ELECTRIC CO,GE,NYSE
29,1000184,SAP SE,SAP,NYSE
30,1283699,"T-Mobile US, Inc.",TMUS,Nasdaq
31,21344,COCA COLA CO,KO,NYSE
32,731766,UNITEDHEALTH GROUP INC,UNH,NYSE
33,858877,"CISCO SYSTEMS, INC.",CSCO,Nasdaq
34,2488,ADVANCED MICRO DEVICES INC,AMD,Nasdaq
35,72971,WELLS FARGO & COMPANY/MN,WFC,NYSE
36,51143,INTERNATIONAL BUSINESS MACHINES CORP,IBM,NYSE
37,895421,MORGAN STANLEY,MS,NYSE
38,1413329,Philip Morris International Inc.,PM,NYSE
39,2070829,"Contemporary Amperex Technology Co., Limited/ADR",CYATY,OTC
40,1094517,TOYOTA MOTOR CORP/,TM,NYSE
41,886982,GOLDMAN SACHS GROUP INC,GS,NYSE
42,1089113,HSBC HOLDINGS PLC,HSBC,NYSE
43,353278,NOVO NORDISK A S,NVO,NYSE
44,1751008,AppLovin Corp,APP,Nasdaq
45,1114448,NOVARTIS AG,NVS,NYSE
46,4962,AMERICAN EXPRESS CO,AXP,NYSE
47,1067839,"INVESCO QQQ TRUST, SERIES 1",QQQ,Nasdaq
48,1108524,"Salesforce, Inc.",CRM,NYSE
49,1800,ABBOTT LABORATORIES,ABT,NYSE
50,901832,ASTRAZENECA PLC,AZN,Nasdaq
51,1707925,LINDE PLC,LIN,Nasdaq
52,18230,CATERPILLAR INC,CAT,NYSE
53,101829,RTX Corp,RTX,NYSE
54,1393818,Blackstone Inc.,BX,NYSE
55,63908,MCDONALDS CORP,MCD,NYSE
56,1306965,Shell plc,SHEL,NYSE
57,1000275,ROYAL BANK OF CANADA,RY,NYSE
58,732717,AT&T INC.,T,NYSE
59,1744489,Walt Disney Co,DIS,NYSE
60,310158,"Merck & Co., Inc.",MRK,NYSE
61,1373715,"ServiceNow, Inc.",NOW,NYSE
62,1543151,"Uber Technologies, Inc",UBER,NYSE
63,896878,INTUIT INC.,INTU,Nasdaq
64,1594805,SHOPIFY INC.,SHOP,Nasdaq
65,77476,PEPSICO INC,PEP,Nasdaq
66,831001,CITIGROUP INC,C,NYSE
67,1737806,PDD Holdings Inc.,PDD,Nasdaq
68,97745,THERMO FISHER SCIENTIFIC INC.,TMO,NYSE
69,732712,VERIZON COMMUNICATIONS INC,VZ,NYSE
70,723125,MICRON TECHNOLOGY INC,MU,Nasdaq
71,2012383,"BlackRock, Inc.",BLK,NYSE
72,67088,MITSUBISHI UFJ FINANCIAL GROUP INC,MUFG,NYSE
73,97476,TEXAS INSTRUMENTS INC,TXN,Nasdaq
74,1596532,"Arista Networks, Inc.",ANET,NYSE
75,804328,QUALCOMM INC/DE,QCOM,Nasdaq
76,1075531,Booking Holdings Inc.,BKNG,Nasdaq
77,316709,SCHWAB CHARLES CORP,SCHW,NYSE
78,1144967,HDFC BANK LTD,HDB,NYSE
79,946770,DEUTSCHE TELEKOM AG,DTEGY,OTC
80,707549,LAM RESEARCH CORP,LRCX,Nasdaq
81,64040,S&P Global Inc.,SPGI,NYSE
82,12927,BOEING CO,BA,NYSE
83,1996810,GE Vernova Inc.,GEV,NYSE
84,6951,APPLIED MATERIALS INC /DE,AMAT,Nasdaq
85,313838,Sony Group Corp,SONY,NYSE
86,50863,INTEL CORP,INTC,Nasdaq
87,1035267,INTUITIVE SURGICAL INC,ISRG,Nasdaq
88,753308,NEXTERA ENERGY INC,NEE,NYSE
89,217410,UNILEVER PLC,UL,NYSE
90,109198,TJX COMPANIES INC /DE/,TJX,NYSE
91,1467373,Accenture plc,ACN,NYSE
92,891478,"Banco Santander, S.A.",SAN,NYSE
93,796343,ADOBE INC.,ADBE,Nasdaq
94,310764,STRYKER CORP,SYK,NYSE
95,1973239,ARM HOLDINGS PLC /UK,ARM,Nasdaq
96,820313,AMPHENOL CORP /DE/,APH,NYSE
97,318154,AMGEN INC,AMGN,Nasdaq
98,811809,BHP Group Ltd,BHP,NYSE
99,885725,BOSTON SCIENTIFIC CORP,BSX,NYSE
100,80661,PROGRESSIVE CORP/OH/,PGR,NYSE
101,927628,CAPITAL ONE FINANCIAL CORP,COF,NYSE
102,1551182,Eaton Corp plc,ETN,NYSE
103,60667,LOWES COMPANIES INC,LOW,NYSE
104,1639920,Spotify Technology S.A.,SPOT,NYSE
105,319201,KLA CORP,KLAC,Nasdaq
106,882095,"GILEAD SCIENCES, INC.",GILD,Nasdaq
107,879764,TotalEnergies SE,TTE,NYSE
108,1327567,Palo Alto Networks Inc,PANW,Nasdaq
109,78003,PFIZER INC,PFE,NYSE
110,313616,DANAHER CORP /DE/,DHR,NYSE
111,773840,HONEYWELL INTERNATIONAL INC,HON,Nasdaq
112,100885,UNION PACIFIC CORP,UNP,NYSE
113,2046954,Ultratrex Inc.,UTX,
114,947263,TORONTO DOMINION BANK,TD,NYSE
115,1099590,MERCADOLIBRE INC,MELI,Nasdaq
116,887028,RIO TINTO LTD,RTNTF,OTC
117,315189,DEERE & CO,DE,NYSE
118,1610520,UBS Group AG,UBS,NYSE
119,1404912,KKR & Co. Inc.,KKR,NYSE
120,1535527,"CrowdStrike Holdings, Inc.",CRWD,Nasdaq
121,1783879,"Robinhood Markets, Inc.",HOOD,Nasdaq
122,1613103,Medtronic plc,MDT,NYSE
123,1121404,Sanofi,SNY,Nasdaq
124,47710,HITACHI LTD,HTHIY,OTC
125,6281,ANALOG DEVICES INC,ADI,Nasdaq
126,1163165,CONOCOPHILLIPS,COP,NYSE
127,1668717,Anheuser-Busch InBev SA/NV,BUD,NYSE
128,8670,AUTOMATIC DATA PROCESSING INC,ADP,Nasdaq
129,1381197,"Interactive Brokers Group, Inc.",IBKR,Nasdaq
130,1792789,"DoorDash, Inc.",DASH,Nasdaq
131,1166691,COMCAST CORP,CMCSA,Nasdaq
132,1303523,British American Tobacco p.l.c.,BTI,NYSE
133,936468,LOCKHEED MARTIN CORP,LMT,NYSE
134,766704,WELLTOWER INC.,WELL,NYSE
135,896159,Chubb Ltd,CB,NYSE
136,764180,"ALTRIA GROUP, INC.",MO,NYSE
137,842180,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",BBVA,NYSE
138,883241,SYNOPSYS INC,SNPS,Nasdaq
139,863064,RIO TINTO PLC,RIO,NYSE
140,1022837,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",SMFG,NYSE
141,895728,ENBRIDGE INC,ENB,NYSE
142,1103838,ICICI BANK LTD,IBN,NYSE
143,1703399,Sea Ltd,SE,NYSE
144,1045609,"Prologis, Inc.",PLD,NYSE
145,1868275,Constellation Energy Corp,CEG,Nasdaq
146,1001085,BROOKFIELD Corp /ON/,BN,NYSE
147,875320,VERTEX PHARMACEUTICALS INC / MA,VRTX,Nasdaq
148,320187,"NIKE, Inc.",NKE,NYSE
149,92122,SOUTHERN CO,SO,NYSE
150,860730,"HCA Healthcare, Inc.",HCA,NYSE
151,62709,"MARSH & MCLENNAN COMPANIES, INC.",MMC,NYSE
152,1001838,SOUTHERN COPPER CORP/,SCCO,NYSE
153,1315098,Roblox Corp,RBLX,NYSE
154,1156375,CME GROUP INC.,CME,Nasdaq
155,829224,STARBUCKS CORP,SBUX,Nasdaq
156,1571949,"Intercontinental Exchange, Inc.",ICE,NYSE
157,1110646,"NetEase, Inc.",NTES,Nasdaq
158,64803,CVS HEALTH Corp,CVS,NYSE
159,1326160,Duke Energy CORP,DUK,NYSE
160,76334,Parker-Hannifin Corp,PH,NYSE
161,813672,CADENCE DESIGN SYSTEMS INC,CDNS,Nasdaq
162,927653,MCKESSON CORP,MCK,NYSE
163,1937926,Brookfield Asset Management Ltd.,BAM,NYSE
164,927971,BANK OF MONTREAL /CAN/,BMO,NYSE
165,1164727,NEWMONT Corp /DE/,NEM,NYSE
166,1050446,Strategy Inc,MSTR,Nasdaq
167,1222333,SPDR GOLD TRUST,GLD,NYSE
168,898173,O REILLY AUTOMOTIVE INC,ORLY,Nasdaq
169,1466258,Trane Technologies plc,TT,NYSE
170,1053507,AMERICAN TOWER CORP /MA/,AMT,NYSE
171,823768,WASTE MANAGEMENT INC,WM,NYSE
172,14272,BRISTOL MYERS SQUIBB CO,BMY,NYSE
173,1571996,Dell Technologies Inc.,DELL,NYSE
174,313807,BP PLC,BP,NYSE
175,40533,GENERAL DYNAMICS CORP,GD,NYSE
176,884887,ROYAL CARIBBEAN CRUISES LTD,RCL,NYSE
177,929869,RELX PLC,RELX,NYSE
178,1059556,MOODYS CORP /DE/,MCO,NYSE
179,1679788,"Coinbase Global, Inc.",COIN,Nasdaq
180,1648416,Ferrari N.V.,RACE,NYSE
181,89800,SHERWIN WILLIAMS CO,SHW,NYSE
182,1133421,NORTHROP GRUMMAN CORP /DE/,NOC,NYSE
183,1335730,MIZUHO FINANCIAL GROUP INC,MFG,NYSE
184,2809,AGNICO EAGLE MINES LTD,AEM,NYSE
185,1131399,GSK plc,GSK,NYSE
186,723254,CINTAS CORP,CTAS,Nasdaq
187,66740,3M CO,MMM,NYSE
188,1103982,"Mondelez International, Inc.",MDLZ,Nasdaq
189,895564,BAE SYSTEMS PLC /FI/,BAESY,OTC
190,1119639,PETROBRAS - PETROLEO BRASILEIRO SA,PBR,NYSE
191,2039784,"Midea Group Co., Ltd./ADR",MGCLY,OTC
192,9631,BANK OF NOVA SCOTIA,BNS,NYSE
193,1075124,THOMSON REUTERS CORP /CAN/,TRI,Nasdaq
194,713676,"PNC FINANCIAL SERVICES GROUP, INC.",PNC,NYSE
195,1858681,"Apollo Global Management, Inc.",APO,NYSE
196,354190,Arthur J. Gallagher & Co.,AJG,NYSE
197,1640147,Snowflake Inc.,SNOW,NYSE
198,31462,ECOLAB INC.,ECL,NYSE
199,1390777,Bank of New York Mellon Corp,BK,NYSE
200,4281,Howmet Aerospace Inc.,HWM,NYSE
201,1691493,Nu Holdings Ltd.,NU,NYSE
202,849395,CRH PUBLIC LTD CO,CRH,NYSE
203,1101239,EQUINIX INC,EQIX,Nasdaq
204,1739940,Cigna Group,CI,NYSE
205,315293,Aon plc,AON,NYSE
206,1039765,ING GROEP NV,ING,NYSE
207,49826,ILLINOIS TOOL WORKS INC,ITW,NYSE
208,1477333,"Cloudflare, Inc.",NET,NYSE
209,68505,"Motorola Solutions, Inc.",MSI,NYSE
210,1158838,ADVANTEST CORP,ATEYY,OTC
211,36104,US BANCORP \DE\,USB,NYSE
212,1559720,"Airbnb, Inc.",ABNB,Nasdaq
213,1132597,Itau Unibanco Holding S.A.,ITUB,NYSE
214,1045520,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,CM,NYSE
215,1260221,TransDigm Group INC,TDG,NYSE
216,32604,EMERSON ELECTRIC CO,EMR,NYSE
